Date,Team,Team Location,Team Score,Opponent,Opponent Score,Opponent Location,Neutral Site,Team Result,Team Differential,Opponent Differential
11/8/2013,Illinois,Home,80,Alabama St,63,Away,,Win,2.09,2.00
11/8/2013,Alabama St,Away,63,Illinois,80,Home,,Loss,2.00,2.09
11/8/2013,Mississippi St,Home,71,Prairie View,56,Away,,Win,-3.61,-7.68
11/8/2013,Prairie View,Away,56,Mississippi St,71,Home,,Loss,-7.68,-3.61
11/8/2013,Kansas,Home,80,ULM,63,Away,,Win,9.15,-4.19
11/8/2013,ULM,Away,63,Kansas,80,Home,,Loss,-4.19,9.15
11/8/2013,Loyola MD,Away,79,Binghamton,74,Home,,Win,-6.70,-10.00
11/8/2013,Binghamton,Home,74,Loyola MD,79,Away,,Loss,-10.00,-6.70
11/8/2013,Marshall,Home,85,S Carolina St,69,Away,,Win,0.30,-9.90
11/8/2013,S Carolina St,Away,69,Marshall,85,Home,,Loss,-9.90,0.30
11/8/2013,Marquette,Home,63,Southern Univ,56,Away,,Win,3.47,5.38
11/8/2013,Southern Univ,Away,56,Marquette,63,Home,,Loss,5.38,3.47
11/8/2013,Sam Houston St,Away,77,TX Pan American,73,Home,,Win,6.03,-5.03
11/8/2013,TX Pan American,Home,73,Sam Houston St,77,Away,,Loss,-5.03,6.03
11/8/2013,West Virginia,Home,77,Mt St Mary's,62,Away,,Win,4.25,-1.72
11/8/2013,Mt St Mary's,Away,62,West Virginia,77,Home,,Loss,-1.72,4.25
11/8/2013,SF Austin,Home,90,UT Tyler,64,Away,,Win,13.85,0.00
11/8/2013,UT Tyler,Away,64,SF Austin,90,Home,,Loss,0.00,13.85
11/8/2013,Samford,Home,79,Martin Meth,62,Away,,Win,-5.88,0.00
11/8/2013,Martin Meth,Away,62,Samford,79,Home,,Loss,0.00,-5.88
11/8/2013,Mississippi,Home,69,Troy,54,Away,,Win,2.48,-1.61
11/8/2013,Troy,Away,54,Mississippi,69,Home,,Loss,-1.61,2.48
11/8/2013,Texas Tech,Home,76,Houston Bap,61,Away,,Win,0.00,-9.10
11/8/2013,Houston Bap,Away,61,Texas Tech,76,Home,,Loss,-9.10,0.00
11/8/2013,Loyola-Chicago,Home,76,WI Milwaukee,72,Away,,Win,-2.94,0.47
11/8/2013,WI Milwaukee,Away,72,Loyola-Chicago,76,Home,,Loss,0.47,-2.94
11/8/2013,Liberty,Home,74,Randolph Col,53,Away,,Win,0.50,0.00
11/8/2013,Randolph Col,Away,53,Liberty,74,Home,,Loss,0.00,0.50
11/8/2013,NE Omaha,Away,68,N Illinois,66,Home,,Win,5.40,-0.63
11/8/2013,N Illinois,Home,66,NE Omaha,68,Away,,Loss,-0.63,5.40
11/8/2013,N Dakota St,Home,93,Viterbo,49,Away,,Win,11.03,0.00
11/8/2013,Viterbo,Away,49,N Dakota St,93,Home,,Loss,0.00,11.03
11/8/2013,Utah,Home,128,Evergreen St,44,Away,,Win,11.53,0.00
11/8/2013,Evergreen St,Away,44,Utah,128,Home,,Loss,0.00,11.53
11/8/2013,UAB,Home,76,Columbus St,56,Away,,Win,2.77,0.00
11/8/2013,Columbus St,Away,56,UAB,76,Home,,Loss,0.00,2.77
11/8/2013,Auburn,Home,76,Nicholls St,54,Away,,Win,-0.37,-4.41
11/8/2013,Nicholls St,Away,54,Auburn,76,Home,,Loss,-4.41,-0.37
11/8/2013,Arizona St,Home,96,UMBC,61,Away,,Win,6.16,-7.23
11/8/2013,UMBC,Away,61,Arizona St,96,Home,,Loss,-7.23,6.16
11/8/2013,Arkansas,Home,99,Edwardsville,65,Away,,Win,9.03,-3.23
11/8/2013,Edwardsville,Away,65,Arkansas,99,Home,,Loss,-3.23,9.03
11/8/2013,Youngstown St,Away,73,Kennesaw,57,Home,,Win,2.84,-9.29
11/8/2013,Kennesaw,Home,57,Youngstown St,73,Away,,Loss,-9.29,2.84
11/8/2013,Furman,Home,66,Sewanee,49,Away,,Win,-8.03,0.00
11/8/2013,Sewanee,Away,49,Furman,66,Home,,Loss,0.00,-8.03
11/8/2013,Loy Marymount,Away,78,Grand Canyon,75,Away,Neutral Site,Win,-3.84,0.45
11/8/2013,Grand Canyon,Away,75,Loy Marymount,78,Away,Neutral Site,Loss,0.45,-3.84
11/8/2013,Elon,Home,114,Wash & Lee,64,Away,,Win,3.47,0.00
11/8/2013,Wash & Lee,Away,64,Elon,114,Home,,Loss,0.00,3.47
11/8/2013,Oklahoma St,Home,117,MS Valley St,62,Away,,Win,11.24,-9.03
11/8/2013,MS Valley St,Away,62,Oklahoma St,117,Home,,Loss,-9.03,11.24
11/8/2013,Creighton,Home,107,Alcorn St,61,Away,,Win,12.12,-3.74
11/8/2013,Alcorn St,Away,61,Creighton,107,Home,,Loss,-3.74,12.12
11/8/2013,Texas A&M,Home,82,Buffalo,58,Away,,Win,1.72,6.21
11/8/2013,Buffalo,Away,58,Texas A&M,82,Home,,Loss,6.21,1.72
11/8/2013,Villanova,Home,75,Lafayette,59,Away,,Win,11.94,-3.32
11/8/2013,Lafayette,Away,59,Villanova,75,Home,,Loss,-3.32,11.94
11/8/2013,Bradley,Home,72,Jacksonville St,65,Away,,Win,-2.41,-5.23
